iter	Passed	Remaining
193	1102	4581
194	1107	4573
195	1113	4565
196	1118	4559
197	1123	4551
198	1129	4545
199	1134	4538
200	1140	4532
201	1145	4526
202	1150	4518
203	1156	4513
204	1163	4510
205	1168	4502
206	1173	4495
207	1179	4489
208	1184	4481
209	1188	4472
210	1193	4463
211	1199	4457
212	1205	4452
213	1211	4449
214	1217	4443
215	1222	4438
216	1228	4432
217	1234	4427
218	1239	4420
219	1245	4414
220	1251	4410
221	1256	4403
222	1262	4397
223	1267	4390
224	1272	4383
225	1278	4377
226	1283	4371
227	1288	4363
228	1293	4355
229	1299	4348
230	1304	4342
231	1310	4339
232	1316	4332
233	1321	4324
234	1326	4317
235	1331	4311
236	1337	4304
237	1342	4298
238	1347	4291
239	1352	4282
240	1358	4277
241	1363	4271
242	1369	4265
243	1375	4260
244	1379	4252
245	1385	4245
246	1390	4239
247	1395	4231
248	1400	4224
249	1406	4219
250	1412	4213
251	1417	4208
252	1422	4201
253	1427	4193
254	1433	4186
255	1438	4179
256	1443	4174
257	1449	4167
258	1454	4161
259	1460	4157
260	1466	4151
261	1471	4145
262	1477	4139
263	1482	4133
264	1487	4126
265	1493	4120
266	1497	4111
267	1502	4105
268	1508	4098
269	1512	4090
270	1519	4086
271	1524	4079
272	1529	4072
273	1534	4066
274	1540	4061
275	1545	4054
276	1550	4047
277	1556	4041
278	1560	4033
279	1565	4026
280	1571	4019
281	1576	4013
282	1581	4006
283	1587	4002
284	1593	3997
285	1599	3992
286	1604	3987
287	1609	3979
288	1615	3974
289	1620	3968
290	1626	3961
291	1632	3957
292	1637	3951
293	1643	3945
294	1648	3939
295	1653	3932
296	1658	3925
297	1664	3920
298	1669	3914
299	1674	3907
300	1679	3901
301	1685	3896
302	1692	3892
303	1698	3887
304	1703	3882
305	1709	3876
306	1714	3871
307	1720	3865
308	1725	3858
309	1731	3854
310	1737	3848
311	1742	3842
312	1748	3837
313	1753	3831
314	1759	3825
315	1764	3820
316	1770	3813
317	1775	3807
318	1780	3801
319	1785	3794
320	1790	3787
321	1796	3781
322	1802	3777
323	1807	3770
324	1812	3764
325	1818	3759
326	1822	3751
327	1827	3744
328	1832	3737
329	1837	3731
330	1843	3725
331	1849	3721
332	1854	3714
333	1859	3708
334	1865	3703
335	1871	3698
336	1876	3692
337	1882	3687
338	1887	3681
339	1892	3674
340	1898	3669
341	1904	3664
342	1909	3656
343	1914	3651
344	1920	3645
345	1925	3638
346	1930	3632
347	1935	3626
348	1940	3619
349	1945	3612
350	1951	3607
351	1956	3602
352	1962	3596
353	1967	3591
354	1973	3586
355	1979	3580
356	1984	3574
357	1989	3568
358	1995	3562
359	2001	3558
360	2006	3551
361	2012	3546
362	2018	3541
363	2023	3535
364	2029	3530
365	2034	3525
366	2040	3519
367	2046	3514
368	2051	3508
369	2057	3502
370	2061	3495
371	2066	3489
372	2072	3483
373	2077	3477
374	2082	3471
375	2088	3465
376	2093	3459
377	2098	3453
378	2105	3449
379	2111	3444
380	2116	3438
381	2121	3431
382	2126	3425
383	2132	3420
384	2137	3415
385	2143	3408
386	2148	3402
387	2153	3396
388	2159	3391
389	2164	3384
390	2169	3378
391	2174	3372
392	2180	3367
393	2185	3361
394	2191	3356
395	2196	3350
396	2201	3344
397	2207	3338
398	2213	3334
399	2219	3329
400	2225	3323
401	2231	3319
402	2236	3313
403	2241	3307
404	2247	3301
405	2251	3294
406	2257	3288
407	2262	3283
408	2268	3277
409	2274	3272
410	2279	3266
411	2285	3261
412	2290	3255
413	2295	3248
414	2300	3243
415	2306	3237
416	2311	3232
417	2316	3225
418	2322	3220
419	2328	3214
420	2333	3209
421	2338	3203
422	2344	3197
423	2349	3191
424	2355	3186
425	2360	3180
426	2366	3175
427	2371	3169
428	2376	3163
429	2382	3158
430	2388	3153
431	2393	3146
432	2398	3140
433	2403	3134
434	2408	3128
435	2414	3123
436	2420	3118
437	2426	3113
438	2431	3107
439	2437	3102
440	2444	3099
441	2450	3093
442	2455	3087
443	2460	3081
444	2466	3076
445	2471	3069
446	2476	3064
447	2482	3058
448	2488	3053
449	2493	3048
450	2500	3043
451	2505	3037
452	2511	3032
453	2516	3026
454	2522	3021
455	2527	3015
456	2533	3009
457	2538	3004
458	2544	2998
459	2550	2993
460	2555	2987
461	2560	2981
462	2565	2975
463	2570	2969
464	2576	2963
465	2581	2957
466	2586	2951
467	2591	2946
468	2597	2940
469	2602	2934
470	2606	2927
471	2612	2921
472	2617	2916
473	2623	2910
474	2627	2904
475	2633	2898
476	2637	2892
477	2643	2886
478	2648	2880
479	2653	2874
480	2658	2868
481	2663	2862
482	2668	2856
483	2674	2851
484	2680	2845
485	2685	2840
486	2690	2834
487	2696	2829
488	2702	2823
489	2707	2818
490	2713	2812
491	2719	2807
492	2724	2801
493	2730	2797
494	2736	2792
495	2742	2787
496	2747	2780
497	2752	2774
498	2757	2768
499	2763	2763
500	2768	2757
501	2773	2751
502	2778	2745
503	2783	2738
504	2788	2733
505	2793	2726
506	2798	2721
507	2803	2715
508	2808	2709
509	2814	2704
510	2821	2699
511	2827	2694
512	2832	2689
513	2838	2683
514	2843	2677
515	2848	2671
516	2853	2666
517	2858	2659
518	2863	2653
519	2867	2647
520	2873	2641
521	2879	2636
522	2884	2631
523	2890	2625
524	2895	2619
525	2900	2614
526	2906	2608
527	2911	2602
528	2916	2597
529	2922	2591
530	2928	2586
531	2933	2580
532	2939	2575
533	2945	2570
534	2950	2564
535	2956	2558
536	2960	2552
537	2966	2547
538	2971	2541
539	2977	2536
540	2982	2530
541	2988	2525
542	2993	2519
543	2998	2513
544	3004	2508
545	3009	2502
546	3014	2496
547	3020	2491
548	3026	2485
549	3031	2480
550	3036	2474
551	3042	2469
552	3048	2463
553	3053	2458
554	3058	2452
555	3063	2446
556	3069	2441
557	3074	2435
558	3080	2430
559	3085	2424
560	3091	2419
561	3096	2413
562	3102	2408
563	3107	2402
564	3112	2396
565	3118	2390
566	3123	2385
567	3128	2379
568	3133	2373
569	3139	2368
570	3145	2363
571	3150	2357
572	3156	2352
573	3161	2346
574	3168	2341
575	3174	2336
576	3179	2330
577	3184	2325
578	3189	2318
579	3194	2313
580	3200	2307
581	3205	2302
582	3211	2296
583	3216	2291
584	3222	2285
585	3227	2280
586	3232	2274
587	3237	2268
588	3243	2263
589	3248	2257
590	3254	2252
591	3260	2247
592	3265	2241
593	3270	2235
594	3276	2230
595	3281	2224
596	3287	2218
597	3292	2213
598	3297	2207
599	3303	2202
600	3308	2196
601	3313	2190
602	3319	2185
603	3324	2179
604	3329	2173
605	3334	2168
606	3340	2162
607	3346	2157
608	3352	2152
609	3358	2147
610	3364	2142
611	3369	2136
612	3375	2130
613	3381	2125
614	3387	2120
615	3392	2114
616	3398	2109
617	3403	2103
618	3409	2098
619	3414	2092
620	3419	2087
621	3425	2081
622	3430	2076
623	3435	2070
624	3441	2065
625	3447	2059
626	3452	2053
627	3457	2048
628	3463	2043
629	3469	2037
630	3474	2031
631	3480	2026
632	3486	2021
633	3492	2015
634	3497	2010
635	3503	2005
636	3508	1999
637	3513	1993
638	3519	1988
639	3524	1982
640	3529	1976
641	3534	1970
642	3540	1965
643	3545	1959
644	3550	1954
645	3556	1948
646	3562	1943
647	3568	1938
648	3573	1932
649	3579	1927
650	3583	1921
651	3589	1915
652	3594	1909
653	3598	1903
654	3603	1898
655	3608	1892
656	3613	1886
657	3619	1881
658	3625	1876
659	3630	1870
660	3635	1864
661	3642	1859
662	3647	1854
663	3652	1848
664	3658	1842
665	3663	1837
666	3669	1831
667	3674	1826
668	3680	1820
669	3685	1815
670	3690	1809
671	3694	1803
672	3699	1797
673	3705	1792
674	3711	1786
675	3717	1781
676	3723	1776
677	3728	1770
678	3734	1765
679	3739	1759
680	3745	1754
681	3750	1748
682	3756	1743
683	3761	1737
684	3767	1732
685	3773	1727
686	3780	1722
687	3785	1716
688	3790	1711
689	3796	1705
690	3802	1700
691	3807	1694
692	3812	1688
693	3817	1683
694	3822	1677
695	3828	1672
696	3833	1666
697	3839	1661
698	3844	1655
699	3850	1650
700	3855	1644
701	3861	1639
702	3866	1633
703	3871	1627
704	3876	1622
705	3883	1617
706	3888	1611
707	3894	1606
708	3899	1600
709	3904	1594
710	3910	1589
711	3915	1583
712	3920	1578
713	3925	1572
714	3931	1567
715	3936	1561
716	3942	1556
717	3947	1550
718	3953	1545
719	3958	1539
720	3964	1533
721	3969	1528
722	3975	1522
723	3980	1517
724	3985	1511
725	3992	1506
726	3997	1501
727	4002	1495
728	4007	1489
729	4012	1484
730	4018	1478
731	4023	1472
732	4028	1467
733	4033	1461
734	4038	1455
735	4043	1450
736	4048	1444
737	4053	1439
738	4059	1433
739	4065	1428
740	4070	1422
741	4075	1417
742	4081	1411
743	4086	1406
744	4092	1400
745	4097	1395
746	4102	1389
747	4108	1384
748	4114	1378
749	4120	1373
750	4125	1367
751	4130	1362
752	4136	1356
753	4141	1351
754	4148	1346
755	4153	1340
756	4159	1335
757	4164	1329
758	4169	1323
759	4175	1318
760	4180	1312
761	4185	1307
762	4190	1301
763	4194	1295
764	4200	1290
765	4205	1284
766	4211	1279
767	4216	1273
768	4222	1268
769	4227	1262
770	4232	1257
771	4237	1251
772	4243	1246
773	4248	1240
774	4254	1235
775	4260	1229
776	4265	1224
777	4270	1218
778	4275	1213
779	4280	1207
780	4286	1202
781	4292	1196
782	4298	1191
783	4303	1185
784	4309	1180
785	4314	1174
786	4320	1169
787	4325	1163
788	4330	1158
789	4336	1152
790	4341	1147
791	4347	1141
792	4352	1136
793	4356	1130
794	4362	1124
795	4367	1119
796	4373	1113
797	4378	1108
798	4383	1102
799	4388	1097
800	4393	1091
801	4398	1085
802	4404	1080
803	4410	1075
804	4415	1069
805	4420	1064
806	4426	1058
807	4431	1053
808	4437	1047
809	4443	1042
810	4448	1036
811	4453	1031
812	4459	1025
813	4465	1020
814	4470	1014
815	4475	1009
816	4481	1003
817	4486	998
818	4492	992
819	4499	987
820	4505	982
821	4510	976
822	4516	971
823	4522	965
824	4527	960
825	4533	954
826	4538	949
827	4544	944
828	4550	938
829	4556	933
830	4562	927
831	4567	922
832	4572	916
833	4577	911
834	4582	905
835	4587	900
836	4593	894
837	4599	889
838	4604	883
839	4610	878
840	4615	872
841	4621	867
842	4627	861
843	4632	856
844	4638	850
845	4643	845
846	4648	839
847	4653	834
848	4658	828
849	4663	822
850	4668	817
851	4674	812
852	4679	806
853	4685	800
854	4690	795
855	4696	790
856	4702	784
857	4708	779
858	4714	773
859	4719	768
860	4724	762
861	4729	757
862	4735	751
863	4741	746
864	4746	740
865	4752	735
866	4757	729
867	4762	724
868	4767	718
869	4773	713
870	4778	707
871	4783	702
872	4788	696
873	4794	691
874	4800	685
875	4805	680
876	4810	674
877	4815	669
878	4821	663
879	4826	658
880	4831	652
881	4837	647
882	4842	641
883	4848	636
884	4853	630
885	4858	625
886	4863	619
887	4868	614
888	4874	608
889	4879	603
890	4884	597
891	4890	592
892	4895	586
893	4901	581
894	4906	575
895	4912	570
896	4918	564
897	4923	559
898	4928	553
899	4934	548
900	4938	542
901	4944	537
902	4949	531
903	4954	526
904	4959	520
905	4965	515
906	4970	509
907	4976	504
908	4981	498
909	4986	493
910	4991	487
911	4997	482
912	5002	476
913	5007	471
914	5012	465
915	5018	460
916	5024	454
917	5029	449
918	5035	443
919	5040	438
920	5047	432
921	5052	427
922	5058	421
923	5063	416
924	5068	410
925	5073	405
926	5078	399
927	5084	394
928	5089	388
929	5094	383
930	5100	378
931	5106	372
932	5111	367
933	5117	361
934	5123	356
935	5129	350
936	5134	345
937	5140	339
938	5146	334
939	5151	328
940	5156	323
941	5162	317
942	5167	312
943	5172	306
944	5178	301
945	5183	295
946	5188	290
947	5193	284
948	5199	279
949	5204	273
950	5210	268
951	5216	263
952	5221	257
953	5227	252
954	5232	246
955	5238	241
956	5244	235
957	5249	230
958	5254	224
959	5260	219
960	5265	213
961	5270	208
962	5275	202
963	5281	197
964	5287	191
965	5293	186
966	5298	180
967	5304	175
968	5309	169
969	5315	164
970	5320	158
971	5325	153
972	5331	147
973	5337	142
974	5342	136
975	5347	131
976	5352	126
977	5358	120
978	5363	115
979	5369	109
980	5375	104
981	5381	98
982	5387	93
983	5392	87
984	5398	82
985	5403	76
986	5409	71
987	5414	65
988	5420	60
989	5425	54
990	5430	49
991	5436	43
992	5442	38
993	5448	32
994	5453	27
995	5458	21
996	5464	16
997	5469	10
998	5474	5
999	5480	0
