iter	MultiClass
209	0.425410233
210	0.4253484886
211	0.4252076575
212	0.4250701038
213	0.4248482216
214	0.4247228976
215	0.4244927186
216	0.4244017115
217	0.4242808853
218	0.4241107997
219	0.4239394937
220	0.4237978333
221	0.4236595777
222	0.4234892057
223	0.4233726291
224	0.4232607062
225	0.4230908488
226	0.4229390297
227	0.4228564278
228	0.4227039218
229	0.4225744251
230	0.4225295632
231	0.4223730889
232	0.4222850768
233	0.4222014853
234	0.4221125516
235	0.4219671101
236	0.4218728077
237	0.4217065706
238	0.4215908084
239	0.4215321851
240	0.4214128748
241	0.4213027143
242	0.4211619413
243	0.4210565913
244	0.4210040359
245	0.4208628544
246	0.4207206716
247	0.4206370587
248	0.4205027679
249	0.420337885
250	0.4202459732
251	0.4201194836
252	0.4199880154
253	0.4199463567
254	0.419859603
255	0.4197337485
256	0.4196511868
257	0.4195588256
258	0.4192987575
259	0.4192060053
260	0.4190683365
261	0.4189670323
262	0.4189150732
263	0.4188299047
264	0.418676853
265	0.4185524405
266	0.4184779812
267	0.4184232743
268	0.4183404569
269	0.4182632344
270	0.4181310524
271	0.4180487132
272	0.4179995191
273	0.4179410431
274	0.4178832485
275	0.4178474529
276	0.417808421
277	0.4175913041
278	0.417530293
279	0.4174730647
280	0.4173586692
281	0.4172848682
282	0.4171839994
283	0.4170449776
284	0.4169175998
285	0.416787584
286	0.4166586981
287	0.416616284
288	0.4164588823
289	0.4163250818
290	0.4162787529
291	0.416103493
292	0.4160444987
293	0.4159132272
294	0.4157813697
295	0.4157048381
296	0.4156085587
297	0.4155279781
298	0.4153971301
299	0.415320677
300	0.415241699
301	0.4150793015
302	0.4149845374
303	0.4149205864
304	0.4148743963
305	0.4147537675
306	0.4146422889
307	0.4144787507
308	0.414436502
309	0.414290708
310	0.414102722
311	0.4140136935
312	0.4138918081
313	0.4138706352
314	0.4137469258
315	0.413639019
316	0.4135873356
317	0.4134728468
318	0.4134254163
319	0.413354667
320	0.4133165426
321	0.413165871
322	0.4130215445
323	0.4129469861
324	0.4127887588
325	0.4126847241
326	0.4126433135
327	0.4125870305
328	0.4125380109
329	0.4124591977
330	0.4123437044
331	0.4121850233
332	0.4121059709
333	0.4119944508
334	0.4118633473
335	0.4117394549
336	0.4116877879
337	0.4115608061
338	0.4114868648
339	0.4114205297
340	0.4113295098
341	0.4112381334
342	0.411186273
343	0.4110642694
344	0.4108923559
345	0.4108285137
346	0.4107202516
347	0.410647554
348	0.4105880813
349	0.4105510349
350	0.4104689072
351	0.4103125834
352	0.4102683821
353	0.4101789838
354	0.4100790225
355	0.4100386503
356	0.4099557389
357	0.409902047
358	0.4098456036
359	0.4097266191
360	0.409665574
361	0.4096058764
362	0.4094466664
363	0.4093633944
364	0.4092051325
365	0.4091609678
366	0.4091000431
367	0.4090274527
368	0.4089525683
369	0.4088793387
370	0.4088382482
371	0.4087651219
372	0.408699472
373	0.4085754363
374	0.4084036477
375	0.4083716742
376	0.4082746123
377	0.4081497588
378	0.4079896661
379	0.4078566368
380	0.4078036606
381	0.4077238504
382	0.4076455693
383	0.4075164785
384	0.4073969445
385	0.4073445597
386	0.4072898701
387	0.4072033718
388	0.407151151
389	0.4070739195
390	0.4070102003
391	0.4068879963
392	0.4067745219
393	0.406714672
394	0.4066177328
395	0.4065262318
396	0.4064468508
397	0.4063664807
398	0.4062458586
399	0.4060904529
400	0.4059961075
401	0.4058635526
402	0.4057480365
403	0.4057113223
404	0.4056493338
405	0.4056152316
406	0.4055111491
407	0.405401034
408	0.4052832156
409	0.4051367073
410	0.4050639415
411	0.4048952027
412	0.4048198029
413	0.4047552773
414	0.4046486823
415	0.4045783376
416	0.4045095622
417	0.404387029
418	0.4043319853
419	0.4042441255
420	0.4041643291
421	0.4041020565
422	0.4040596192
423	0.4040005831
424	0.4039002702
425	0.4037369244
426	0.4035962713
427	0.4035474587
428	0.403465147
429	0.4033751754
430	0.4032780718
431	0.4032446412
432	0.4032135473
433	0.4031561737
434	0.4030827248
435	0.4029687898
436	0.4028791029
437	0.4027891556
438	0.4027099084
439	0.4026533366
440	0.4025760415
441	0.4024883439
442	0.4024145467
443	0.4023461825
444	0.4021734742
445	0.4021092553
446	0.4019968589
447	0.4019120106
448	0.4017839244
449	0.4016986584
450	0.4015779802
451	0.4014837167
452	0.4013985997
453	0.4013272594
454	0.4012936274
455	0.4011902181
456	0.4010701351
457	0.4010289327
458	0.4009091544
459	0.4007732827
460	0.4006880423
461	0.4006092899
462	0.4005290019
463	0.4004461539
464	0.4003800094
465	0.4003036969
466	0.4002283862
467	0.4001622924
468	0.4001041485
469	0.400065568
470	0.4000305565
471	0.3999881056
472	0.3998557571
473	0.3997506722
474	0.3997221426
475	0.3996813502
476	0.3996737985
477	0.3996110542
478	0.3995634924
479	0.3994874705
480	0.3994123056
481	0.3993471889
482	0.3992918798
483	0.3992077281
484	0.3991287967
485	0.3990052196
486	0.3989430947
487	0.3988917628
488	0.3988113368
489	0.3987493695
490	0.3986803002
491	0.3985899368
492	0.3985248432
493	0.3984296996
494	0.3983491006
495	0.3982528429
496	0.3982138951
497	0.3981274098
498	0.398096805
499	0.3980199309
500	0.397887916
501	0.3977754971
502	0.397749345
503	0.3977282946
504	0.3976475763
505	0.3976211591
506	0.3974787236
507	0.397436736
508	0.3973755432
509	0.3972630164
510	0.3971651717
511	0.3970122255
512	0.3968803356
513	0.3968313732
514	0.3967657449
515	0.3967255622
516	0.3966569455
517	0.3965946868
518	0.3964959494
519	0.3964756205
520	0.3963381823
521	0.3962151146
522	0.3961076654
523	0.395975791
524	0.3959412792
525	0.3958938578
526	0.3958491087
527	0.3957857673
528	0.3956906977
529	0.3956155098
530	0.3955165147
531	0.3954760511
532	0.3953443477
533	0.3952436855
534	0.3951751624
535	0.3951245691
536	0.3950729145
537	0.3949996516
538	0.3948854641
539	0.3948307893
540	0.3947510367
541	0.3947142102
542	0.3946379536
543	0.394592577
544	0.394462221
545	0.3944093825
546	0.3943886621
547	0.394313443
548	0.3942646805
549	0.3942237171
550	0.3941233506
551	0.3940020462
552	0.3939134049
553	0.3938430488
554	0.3938147307
555	0.3937214381
556	0.3936000506
557	0.3935402327
558	0.393497164
559	0.3934255814
560	0.3932973732
561	0.3932419579
562	0.3931596138
563	0.3930644409
564	0.3930181849
565	0.3929621452
566	0.3929396939
567	0.3928423622
568	0.3928072403
569	0.3927388272
570	0.392648378
571	0.3925626216
572	0.392510835
573	0.3924522894
574	0.3923528107
575	0.3922776555
576	0.3921996489
577	0.3921618494
578	0.3920808757
579	0.3920349759
580	0.391986593
581	0.3919121295
582	0.3918138318
583	0.3917608103
584	0.3916569503
585	0.3916100449
586	0.3915541811
587	0.3915122426
588	0.3914309984
589	0.3914114026
590	0.391307298
591	0.3912547459
592	0.3911543008
593	0.3910751649
594	0.3910196884
595	0.390976468
596	0.3909367543
597	0.3908706174
598	0.3908192991
599	0.3907107273
600	0.3906435376
601	0.3905535969
602	0.3904999579
603	0.3904382352
604	0.3903916974
605	0.3903284246
606	0.3902628157
607	0.3901264231
608	0.3900111819
609	0.3899306778
610	0.3898972843
611	0.3898236294
612	0.3897558802
613	0.3896618428
614	0.3895459915
615	0.3895102593
616	0.3894153912
617	0.3893468443
618	0.3893099209
619	0.3892048323
620	0.3891547168
621	0.3890722887
622	0.3889782091
623	0.3889351702
624	0.3888169512
625	0.38876382
626	0.3886943818
627	0.3885733545
628	0.3884985994
629	0.3884356563
630	0.3883902777
631	0.3883251037
632	0.3882753565
633	0.3881969285
634	0.3881166611
635	0.3880708696
636	0.388048797
637	0.3879709505
638	0.3879135858
639	0.387819235
640	0.3877629331
641	0.387705944
642	0.3876104811
643	0.3875242632
644	0.3874543614
645	0.3873899729
646	0.3873412414
647	0.3872843721
648	0.3872390076
649	0.3871459801
650	0.3871087214
651	0.3870543924
652	0.3869763381
653	0.3869377331
654	0.386873173
655	0.3868240359
656	0.3867650326
657	0.3866712408
658	0.3865348559
659	0.3864823736
660	0.3864493198
661	0.3863136919
662	0.3862630479
663	0.3862150752
664	0.3861243251
665	0.3860546597
666	0.3859762968
667	0.3858765774
668	0.3858000022
669	0.3857455234
670	0.3856820624
671	0.3856657237
672	0.3855863897
673	0.3855080297
674	0.3854466964
675	0.385387467
676	0.3852884195
677	0.3852246877
678	0.385162086
679	0.3850898421
680	0.3850164873
681	0.3849390827
682	0.3848478066
683	0.3847713254
684	0.3846783901
685	0.3845585258
686	0.3844201872
687	0.384372985
688	0.3843284353
689	0.3842381611
690	0.3841638762
691	0.3841234278
692	0.3841044135
693	0.3840387618
694	0.3839801141
695	0.383882437
696	0.3838394241
697	0.3837640971
698	0.3837330518
699	0.3836577723
700	0.3836027287
701	0.3835200259
702	0.383465114
703	0.3834070847
704	0.3833768512
705	0.3832470396
706	0.3831864556
707	0.3831273066
708	0.3831052457
709	0.3830687076
710	0.3830185585
711	0.3829821591
712	0.3829667117
713	0.3829184589
714	0.3828015195
715	0.3827005712
716	0.3826479423
717	0.3825792821
718	0.3824988493
719	0.3823977297
720	0.3823438926
721	0.3823187487
722	0.3822232685
723	0.3822066821
724	0.3821121281
725	0.3819685228
726	0.3818925845
727	0.3818153876
728	0.3817579673
729	0.3817130577
730	0.3816727076
731	0.3816335599
732	0.3815944722
733	0.3815405171
734	0.3815143148
735	0.3814477809
736	0.3813947954
737	0.3813806622
738	0.3813435712
739	0.3812908534
740	0.3812444244
741	0.3811857673
742	0.3811311511
743	0.3810836053
744	0.3810194326
745	0.3809666049
746	0.3809142393
747	0.3808354692
748	0.3807153184
749	0.380625832
750	0.3805635316
751	0.3805222689
752	0.3804170783
753	0.3803937428
754	0.3802873504
755	0.3802283422
756	0.3801498723
757	0.3801059175
758	0.3800678622
759	0.3799942313
760	0.3799418896
761	0.3799083675
762	0.3798025522
763	0.3797317228
764	0.3796369127
765	0.3796114378
766	0.3795401873
767	0.3794469569
768	0.3793386183
769	0.3793150351
770	0.3792488811
771	0.3791513998
772	0.3790732147
773	0.3790204136
774	0.3789018602
775	0.3788161995
776	0.3787728284
777	0.3787095325
778	0.3786630309
779	0.3786092836
780	0.3785525811
781	0.3784601357
782	0.3783858476
783	0.3783327946
784	0.3782622806
785	0.378217366
786	0.3781455865
787	0.3780813427
788	0.3780134765
789	0.3779088975
790	0.3778702028
791	0.3778442755
792	0.377821454
793	0.3777717145
794	0.3777110233
795	0.3776389679
796	0.3775728194
797	0.3775375591
798	0.3774940941
799	0.3774481807
800	0.3774052758
801	0.3773629519
802	0.3773032338
803	0.3771880651
804	0.3771017151
805	0.3770635435
806	0.3769878028
807	0.3769225507
808	0.3768781873
809	0.3768115303
810	0.3767682787
811	0.3767169044
812	0.3766529731
813	0.3765660124
814	0.3765101461
815	0.3764226099
816	0.3763832229
817	0.3763428014
818	0.3762298531
819	0.3761267764
820	0.3760619016
821	0.3759992119
822	0.3759182501
823	0.3758528922
824	0.3757939203
825	0.375744154
826	0.3756394709
827	0.375569501
828	0.3754857939
829	0.3753888799
830	0.3753521348
831	0.375276083
832	0.3752300613
833	0.3751375656
834	0.3751003282
835	0.3750610978
836	0.3750162759
837	0.3749801254
838	0.3749382308
839	0.3748599239
840	0.3747825405
841	0.3747160855
842	0.3746449947
843	0.3745725724
844	0.3744524094
845	0.3743838815
846	0.3743579679
847	0.3743110564
848	0.3742918556
849	0.3742486251
850	0.3741720318
851	0.3741028164
852	0.374069055
853	0.3739858829
854	0.3738997028
855	0.3738479508
856	0.3737239779
857	0.3735986959
858	0.3735127796
859	0.3734778589
860	0.3734481036
861	0.3733576962
862	0.3732741989
863	0.3731858302
864	0.3731574691
865	0.3731106999
866	0.3730586224
867	0.3730224669
868	0.3729639692
869	0.3729275589
870	0.3728529817
871	0.3727991851
872	0.372769591
873	0.3726730349
874	0.3725971605
875	0.3725171107
876	0.3724821807
877	0.3724306497
878	0.372373604
879	0.3723176225
880	0.372231338
881	0.3721622482
882	0.3721278396
883	0.3720473531
884	0.3719879183
885	0.371913787
886	0.3718712632
887	0.3718115989
888	0.3717194771
889	0.3716749187
890	0.3716339019
891	0.3715644454
892	0.3715049976
893	0.3714328006
894	0.3713555182
895	0.371332725
896	0.3712445405
897	0.3711680513
898	0.3710898199
899	0.371024157
900	0.371000554
901	0.3709300975
902	0.3708787977
903	0.3708358075
904	0.370721418
905	0.3706582962
906	0.3705723767
907	0.3705348984
908	0.370475503
909	0.3704164703
910	0.3703971843
911	0.3703688744
912	0.3702794273
913	0.3702239903
914	0.3702022462
915	0.3701164355
916	0.370064063
917	0.3699350897
918	0.3698670461
919	0.3698227349
920	0.3697457853
921	0.3696550088
922	0.3695820815
923	0.3695142344
924	0.3694633875
925	0.3694097671
926	0.3693679869
927	0.3693097774
928	0.369277733
929	0.3691882288
930	0.3690963564
931	0.3690268877
932	0.3689839411
933	0.3689461196
934	0.3688245818
935	0.3687623836
936	0.3686955173
937	0.3686026295
938	0.3685495879
939	0.3685071867
940	0.3684130235
941	0.3683212787
942	0.3682581325
943	0.3682007597
944	0.3680969477
945	0.3680120913
946	0.3679757247
947	0.3679000775
948	0.3678430382
949	0.3677928664
950	0.367694921
951	0.3676447148
952	0.3676167862
953	0.3675648039
954	0.3674858256
955	0.3673729852
956	0.3673452297
957	0.367300148
958	0.3672502038
959	0.3672150347
960	0.3671572543
961	0.367105947
962	0.3670212726
963	0.3669812839
964	0.3669188611
965	0.3668353937
966	0.3667675631
967	0.3667187724
968	0.366639663
969	0.3665139265
970	0.3664705631
971	0.3664329504
972	0.3663857696
973	0.366299603
974	0.3661669467
975	0.3661530113
976	0.3660915545
977	0.3660389133
978	0.365994462
979	0.3658905398
980	0.3657559641
981	0.3656979243
982	0.3656502007
983	0.3655942363
984	0.3655248802
985	0.3654694911
986	0.3654128512
987	0.3653900649
988	0.3652518188
989	0.3652030104
990	0.3651599977
991	0.3650581147
992	0.3649683909
993	0.3649190418
994	0.3648655442
995	0.3648196905
996	0.3647573087
997	0.3647214434
998	0.3647017387
999	0.3646512408
